Food_items,Calories,Fats (gm),Proteins (gm),Iron (mg),Calcium (mg),Sodium (mg),Potassium (mg),Carbohydrates (gm),Fibre (gm),Vitamin D (mcg),Sugars (gm)
Avocados,160,15,2,0.55,12,7,485,8.5,6.7,0,0.7
Bananas,89,0.3,1.1,0.26,5,1,358,23,2.6,0,12
Berries,349,0.4,14,6.8,190,298,77,77,13,0,46
American cheese,331,24,20,0.84,497,966,363,8.3,0,0,0
Coffee,2,0,0.3,0.02,2,1,50,0.2,0,0,0
Corn,97,1.4,3.3,0.55,2,253,3.3,22,2.7,0,7.7
Grapes,93,2.1,5.6,2.63,363,9,272,17,11,0,6.3
Milk,97,6.9,3.8,0.12,169,52,178,5.2,0,0,0
Cashew Nuts,553,44,18,6.68,37,12,660,30,3.3,0,5.9
Orange,97,0.2,1.5,0.8,161,3,212,25,11,0,0
Pears,57,0.1,0.4,0.18,9,1,116,15,3.1,0,9.8
Protein Powder,411,17,46,8.57,500,329,1129,19,7.1,200,5.7
Pop Corn - Caramel,381,1.4,2,0.8,18,286,110,90,2.5,0,65
Pop Corn,429,9.5,13,2.28,11,490,241,73,14,0,0.5
Dosa,168,3.7,4.5,8,0.7,94,76,29,0.9,0,0.1
Idli,156,1.7,5,17.2,4,207,63,30.2,2.1,0,0.74
Poha,130,1.5,2.6,3.16,1,201,117,26.9,1.1,0,0.5
Tomato,16,0.2,1.2,0.47,5,42,212,3.2,0.9,0,2.63
Yogurt,60,4,3.1,0.08,183,70,234,7,0,1,7
Brownie,407,6.2,4.4,3.81,17,457,51,84,2.9,0,55
Uttapam,188,7.2,4.4,24,6.4,522,91,26.4,2.2,0,0.24
Bhaji Pav,151,2.4,9,37.4,3.4,438,180,29.3,1,0,1.35
Almonds,579,50,21,3.71,269,1,733,22,13,0,4.4
Mushrooms,22,0.3,3.1,0.5,3,5,318,3.3,1,7,2
Egg Yolk cooked,196,15,14,1.89,62,207,152,0.8,0,88,0.4
Sweet Potatoes cooked,76,0.1,1.4,0.72,27,27,230,18,2.5,0,5.7
Boiled Potatoes,87,0.1,1.9,0.31,5,240,379,20,2,0,0.9
Orange juice,45,0.2,0.7,0.2,11,1,200,10,0.2,0,8.4
Greek yogurt plain,73,1.9,10,0.04,115,34,141,3.9,0,0,3.6
Oat Bran Cooked,40,0.9,3.2,0.88,10,1,92,11,2.6,0,0
Green Tea,1,0,0.2,0.02,0,1,0.2,0,0,0,0
Chia seeds,486,31,17,7.72,631,16,407,42,34,0,0
Cereals-Corn Flakes,384,0.9,5.9,19.4,2,571,107,88,2.7,286,7.8
Beans,31,0.2,1.8,1.03,37,6,211,7,2.7,0,3.3
Lentils,101,0.5,8.8,3.1,14,246,284,21,0,0,0
Pasta with corn homemade,126,0.7,2.6,0.25,1,0,31,28,4.8,0,0
Tea,1,0,0,0.08,2,1,9,0.2,0,0,0
Apples,52,0.2,0.3,0.12,6,1,107,14,24,0,10
Strawberries,32,0.3,0.7,0.41,16,1,153,7.7,2,0,4.9
Quinoa,120,1.9,4.4,1.49,17,7,172,21,2.8,0,0.9
Nachos,350,22,4.3,0.75,63,313,362,35,3.2,0,2.2
Chicken Popcorn,351,22,18,1.42,32,1140,288,21,1,0,0
Banana Chips,519,34,2.3,1.25,18,6,536,58,7.7,0,35
Honey,304,0,0.3,0.42,6,4,52,82,0.2,0,82
Chocolate milk,535,30,7.7,2.35,189,79,372,59,3.4,0,52